Frame,X,Y,Visibility,L,Theta,score
67,700,35,1,7.149726212024689,-27.677804420274136,0.8055994510650635
68,0,0,0,-inf,-inf,0.39370647072792053
69,907,100,1,2.149417519569397,-42.56774278563798,0.6197839379310608
70,908,100,1,2.525900825858116,-3.5065280018783738,0.5717459917068481
71,668,34,1,2.914320021867752,60.64980066768185,0.766815185546875
72,668,35,1,2.914320021867752,-29.350199333019873,0.7485198378562927
73,666,36,1,3.160753548145294,-16.65594152745111,0.7871389389038086
74,663,40,1,2.765263795852661,-77.50842149646432,0.7933672070503235
75,661,268,1,3.8732456266880035,-57.52047748855281,0.813766598701477
76,662,273,1,2.5153354704380035,-20.70164146089387,0.6978694200515747
77,663,276,1,3.347189739346504,-67.11393321448274,0.5911944508552551
78,0,0,0,-inf,-inf,0.42546606063842773
79,674,36,1,15.038633063435555,-20.308263781392505,0.8115492463111877
80,670,282,1,2.9154761135578156,59.03624346788177,0.7561456561088562
81,672,283,1,2.8481943905353546,-43.29677812248154,0.74171382188797
82,673,285,1,2.549509644508362,-78.69006752640456,0.7184237241744995
83,674,286,1,2.2870084047317505,-76.95228792130584,0.6650950312614441
84,672,286,1,1.994349718093872,85.69217590808297,0.6489587426185608
85,673,286,1,1.0,90.0,0.556814432144165
86,667,234,1,2.0,90.0,0.5154950022697449
87,668,237,1,1.5,90.0,0.44462355971336365
88,663,255,1,2.0,0.0,0.506572961807251
89,0,0,0,-inf,-inf,0.3934836983680725
90,317,52,1,1.5,0.0,0.4708655774593353
91,516,10,1,4.519022807478905,-9.886461843204536,0.750960111618042
92,318,52,1,0.0,0.0,0.40900200605392456
93,0,0,0,-inf,-inf,0.6206052303314209
94,757,169,1,3.6185492277145386,9.714144337377427,0.7281017899513245
95,749,166,1,4.709540203213692,25.286650994347287,0.5951079726219177
96,0,0,0,-inf,-inf,0.3278138041496277
97,317,52,1,1.5,0.0,0.4978034198284149
98,0,0,0,-inf,-inf,0.44375190138816833
99,317,52,1,1.5,0.0,0.5339952111244202
100,317,52,1,1.5,0.0,0.5013691782951355
101,320,51,1,2.9889820218086243,4.911965861712785,0.5189680457115173
102,317,52,1,1.5,0.0,0.47865036129951477
103,0,0,0,-inf,-inf,0.7581784725189209
104,707,37,1,5.405576080083847,-31.862552984293483,0.7377744317054749
105,709,38,1,3.0439666509628296,20.607760045256047,0.8032379746437073
106,710,38,1,3.353050947189331,-25.130712906474344,0.7854833602905273
107,711,38,1,3.0145410150289536,-72.92015272716529,0.7145727276802063
108,0,0,0,-inf,-inf,0.3899941146373749
109,714,40,1,4.274800822138786,29.19089179494081,0.6753736138343811
110,714,35,1,0.0,0.0,0.4011993408203125
111,710,38,1,2.120940148830414,46.084628795167255,0.4912138879299164
112,713,38,1,7.547343019396067,-3.5301847177263705,0.7738706469535828
113,0,0,0,-inf,-inf,0.33230170607566833
114,711,38,1,3.5204593539237976,-13.422955295834436,0.5498760938644409
115,713,39,1,5.360051095485687,-27.337015819504018,0.8637835383415222
116,713,41,1,5.384649813175201,-22.59384325787924,0.7972395420074463
117,713,41,1,7.826122879981995,-26.253895406946608,0.8142855167388916
118,691,53,1,0.5,90.0,0.4370386004447937
119,0,0,0,-inf,-inf,0.38018468022346497
120,0,0,0,-inf,-inf,0.3974273204803467
121,715,41,1,4.986381471157074,-41.0997007232421,0.8114145398139954
122,712,242,1,2.0,4.464244582406599e-10,0.5640857219696045
123,709,242,1,1.8007351756095886,-59.03624346916414,0.6228946447372437
124,681,49,1,3.613606207072735,4.817375473276299,0.5882753729820251
125,681,52,1,3.5,0.0,0.4932701289653778
126,0,0,0,-inf,-inf,0.3575330674648285
127,0,0,0,-inf,-inf,0.27204540371894836
128,0,0,0,-inf,-inf,0.14112809300422668
129,0,0,0,-inf,-inf,0.3307267427444458
130,0,0,0,-inf,-inf,0.30896949768066406
131,0,0,0,-inf,-inf,0.18317650258541107
132,686,279,1,0.0,0.0,0.48653045296669006
133,713,46,1,3.6307945400476456,-11.857598984555459,0.6149819493293762
134,713,43,1,0.5,0.0,0.4682202637195587
135,0,0,0,-inf,-inf,0.35415366291999817
136,675,271,1,0.0,0.0,0.4094659686088562
137,688,268,1,0.0,0.0,0.44083264470100403
138,678,272,1,2.4506929516792297,-78.60173926641984,0.6318234801292419
139,708,47,1,2.8582679331302643,42.33277998218998,0.8171907067298889
140,706,43,1,6.78104031085968,-21.464288159714773,0.8654968738555908
141,703,43,1,4.971590101718903,-30.75915859283414,0.7442663311958313
142,706,38,1,7.1409735679626465,-16.151527325536325,0.7677546143531799
143,705,38,1,5.074001610279083,-19.3402125992882,0.574949324131012
144,697,42,1,0.5,90.0,0.43217653036117554
145,700,41,1,6.575813636183739,-9.557224349406539,0.7941632866859436
146,0,0,0,-inf,-inf,0.3231123089790344
147,652,48,1,5.146891910582781,7.088837083833062,0.7284279465675354
148,644,46,1,2.6695706248283386,14.305229832330955,0.7413413524627686
149,660,42,1,3.600298821926117,-82.53042373312192,0.692067563533783
150,655,41,1,5.218222424387932,-15.140702281484499,0.6780174374580383
151,648,43,1,2.0,0.0,0.5787693858146667
